,PRCP_US1UTWS0009,PRCP_USC00421285,PRCP_USC00421918,TMIN_USC00421918,TMAX_USC00421918,PRCP_USC00422294,TMIN_USC00422294,TMAX_USC00422294,PRCP_USC00422726,PRCP_USC00423335,TMIN_USC00424846,TMAX_USC00424846,PRCP_USC00425705,TMIN_USC00425705,TMAX_USC00425705,PRCP_USC00427255,TMIN_USC00427255,TMAX_USC00427255,PRCP_USC00427576,TMIN_USC00427576,PRCP_USC00428114,TMIN_USC00428114,TMAX_USC00428114,PRCP_USC00428668,PRCP_USC00428741,SNOW_USC00428741,SNWD_USC00428741,TMIN_USC00428741,TMAX_USC00428741,TMIN_USC00428939,TMAX_USC00428939,PRCP_USC00429133,TMIN_USC00429133,TMAX_USC00429133,PRCP_USC00429560,TMIN_USC00429560,TMAX_USC00429560,PRCP_USW00024126,SNOW_USW00024126,SNWD_USW00024126,TMIN_USW00024126,TMAX_USW00024126,depth
1958-12-20,0.0,0.0,0.0,-94.0,94.0,0.0,-11.0,50.0,0.0,0.0,-56.0,72.0,0.0,-56.0,117.0,0.0,-22.0,106.0,0.0,-39.0,0.0,-28.0,100.0,0.0,0.0,0.0,0.0,-11.0,94.0,-56.0,111.0,0.0,-44.0,122.0,0.0,-89.0,33.0,0.0,0.0,0.0,-33.0,94.0,
1958-12-21,0.0,0.0,0.0,-94.0,56.0,0.0,-78.0,78.0,0.0,0.0,-67.0,61.0,0.0,-67.0,106.0,0.0,-28.0,89.0,0.0,,0.0,0.0,139.0,0.0,0.0,0.0,0.0,-11.0,89.0,-56.0,111.0,0.0,-67.0,106.0,0.0,-94.0,50.0,0.0,0.0,0.0,-44.0,94.0,
1958-12-22,0.0,0.0,0.0,-94.0,111.0,5.0,-50.0,44.0,0.0,10.0,-22.0,44.0,0.0,-50.0,100.0,0.0,0.0,67.0,0.0,,0.0,17.0,100.0,0.0,0.0,0.0,0.0,-11.0,50.0,-44.0,56.0,0.0,-56.0,94.0,0.0,-67.0,39.0,5.0,0.0,0.0,-22.0,56.0,
1958-12-23,33.0,43.0,43.0,-83.0,67.0,28.0,-11.0,50.0,5.0,15.0,-22.0,44.0,0.0,0.0,89.0,23.0,0.0,44.0,5.0,-11.0,8.0,11.0,50.0,51.0,0.0,0.0,0.0,6.0,33.0,39.0,44.0,20.0,-22.0,28.0,48.0,-39.0,28.0,3.0,0.0,0.0,11.0,56.0,
1958-12-24,0.0,0.0,0.0,-28.0,89.0,0.0,-100.0,44.0,3.0,0.0,-44.0,33.0,0.0,-33.0,56.0,3.0,-11.0,50.0,0.0,-33.0,0.0,-11.0,56.0,0.0,0.0,0.0,0.0,11.0,67.0,0.0,28.0,8.0,-50.0,44.0,3.0,-67.0,22.0,0.0,0.0,0.0,-17.0,67.0,
1958-12-25,23.0,38.0,0.0,-106.0,56.0,0.0,-44.0,72.0,0.0,0.0,-89.0,17.0,3.0,-67.0,56.0,10.0,-39.0,11.0,0.0,,51.0,-44.0,22.0,25.0,13.0,0.0,0.0,-39.0,50.0,-22.0,28.0,0.0,-89.0,22.0,0.0,-183.0,6.0,23.0,10.0,0.0,-50.0,39.0,
1958-12-26,0.0,0.0,0.0,-172.0,11.0,0.0,-122.0,28.0,8.0,0.0,-83.0,28.0,0.0,-83.0,11.0,0.0,-83.0,0.0,,,5.0,-94.0,28.0,0.0,0.0,0.0,0.0,-50.0,44.0,-89.0,22.0,3.0,-100.0,33.0,0.0,-194.0,-17.0,0.0,0.0,0.0,-56.0,56.0,
1958-12-27,0.0,38.0,10.0,-133.0,17.0,0.0,-94.0,50.0,0.0,41.0,-100.0,11.0,25.0,-111.0,17.0,20.0,-94.0,28.0,,,0.0,-39.0,56.0,43.0,48.0,51.0,51.0,-28.0,89.0,-56.0,56.0,3.0,-50.0,56.0,0.0,-167.0,17.0,36.0,46.0,0.0,0.0,78.0,
1958-12-28,33.0,51.0,56.0,-83.0,56.0,0.0,-100.0,28.0,0.0,13.0,-94.0,11.0,0.0,-72.0,11.0,0.0,-61.0,17.0,0.0,,104.0,-67.0,50.0,5.0,0.0,0.0,51.0,-72.0,28.0,-56.0,11.0,3.0,-89.0,6.0,0.0,-156.0,0.0,8.0,18.0,25.0,-39.0,17.0,
1958-12-29,0.0,0.0,0.0,-178.0,50.0,0.0,-156.0,11.0,0.0,0.0,-100.0,-11.0,0.0,-172.0,-6.0,0.0,-78.0,-11.0,0.0,-72.0,0.0,-78.0,22.0,0.0,0.0,0.0,51.0,-94.0,6.0,-83.0,6.0,0.0,-144.0,-11.0,0.0,-194.0,-56.0,0.0,0.0,25.0,-89.0,17.0,
